year,gdp_per_capita,county_code,gdp,gdp_density,county,economy_unit,match_status,gb,year_display
2024,,150726,37.4006,,新巴尔虎左旗,亿元,matched,156150726,2024
2024,,150727,89.5668,,新巴尔虎右旗,亿元,matched,156150727,2024
2024,,150781,118.6206,,满洲里市,亿元,matched,156150781,2024
2024,,150782,143.563,,牙克石市,亿元,matched,156150782,2024
2024,,150783,221.5795,,扎兰屯市,亿元,matched,156150783,2024
2024,,150784,60.1549,,额尔古纳市,亿元,matched,156150784,2024
2024,,150785,36.4649,,根河市,亿元,matched,156150785,2024
2024,,150802,425.5167,,临河区,亿元,matched,156150802,2024
2024,,150821,143.4024,,五原县,亿元,matched,156150821,2024
2024,,150822,82.0046,,磴口县,亿元,matched,156150822,2024
2024,,150823,177.875,,乌拉特前旗,亿元,matched,156150823,2024
2024,,150824,154.866,,乌拉特中旗,亿元,matched,156150824,2024
2024,,150825,108.8763,,乌拉特后旗,亿元,matched,156150825,2024
2024,,150826,149.7897,,杭锦后旗,亿元,matched,156150826,2024
2024,,150902,293.9057,,集宁区,亿元,matched,156150902,2024
2024,,150921,80.8979,,卓资县,亿元,matched,156150921,2024
2024,,150922,68.5015,,化德县,亿元,matched,156150922,2024
2024,,150923,94.2789,,商都县,亿元,matched,156150923,2024
2024,,150924,94.1657,,兴和县,亿元,matched,156150924,2024
2024,,150925,68.7014,,凉城县,亿元,matched,156150925,2024
2024,,150926,118.9869,,察哈尔右翼前旗,亿元,matched,156150926,2024
2024,,150927,70.9094,,察哈尔右翼中旗,亿元,matched,156150927,2024
2024,,150928,95.2632,,察哈尔右翼后旗,亿元,matched,156150928,2024
2024,,150929,85.1968,,四子王旗,亿元,matched,156150929,2024
2024,,150981,143.3778,,丰镇市,亿元,matched,156150981,2024
2024,,152201,240.2647,,乌兰浩特市,亿元,matched,156152201,2024
2024,,152202,28.5383,,阿尔山市,亿元,matched,156152202,2024
2024,,152221,165.7445,,科尔沁右翼前旗,亿元,matched,156152221,2024
2024,,152222,119.5133,,科尔沁右翼中旗,亿元,matched,156152222,2024
2024,,152223,144.6276,,扎赉特旗,亿元,matched,156152223,2024
2024,,152224,109.0162,,突泉县,亿元,matched,156152224,2024
2024,,152501,76.5002,,二连浩特市,亿元,matched,156152501,2024
2024,,152502,368.1843,,锡林浩特市,亿元,matched,156152502,2024
2024,,152522,58.8665,,阿巴嘎旗,亿元,matched,156152522,2024
2024,,152523,43.1425,,苏尼特左旗,亿元,matched,156152523,2024
2024,,152524,50.9945,,苏尼特右旗,亿元,matched,156152524,2024
2024,,152525,132.9071,,东乌珠穆沁旗,亿元,matched,156152525,2024
2024,,152526,220.1285,,西乌珠穆沁旗,亿元,matched,156152526,2024
2024,,152527,67.1336,,太仆寺旗,亿元,matched,156152527,2024
2024,,152528,33.4346,,镶黄旗,亿元,matched,156152528,2024
2024,,152529,43.687,,正镶白旗,亿元,matched,156152529,2024
2024,,152530,72.0881,,正蓝旗,亿元,matched,156152530,2024
2024,,152531,68.889,,多伦县,亿元,matched,156152531,2024
2024,,152921,322.3173,,阿拉善左旗,亿元,matched,156152921,2024
2024,,152922,39.9888,,阿拉善右旗,亿元,matched,156152922,2024
2024,,152923,51.2607,,额济纳旗,亿元,matched,156152923,2024
2024,,210102,,,和平区,亿元,no_data,156210102,2024
2024,,210103,,,沈河区,亿元,no_data,156210103,2024
2024,,210104,,,大东区,亿元,no_data,156210104,2024
2024,,210105,,,皇姑区,亿元,no_data,156210105,2024
2024,,210106,,,铁西区,亿元,no_data,156210106,2024
2024,,210111,,,苏家屯区,亿元,no_data,156210111,2024
2024,,210112,,,浑南区,亿元,no_data,156210112,2024
2024,,210113,,,沈北新区,亿元,no_data,156210113,2024
2024,,210114,,,于洪区,亿元,no_data,156210114,2024
2024,,210115,,,辽中区,亿元,no_data,156210115,2024
2024,,210123,,,康平县,亿元,no_data,156210123,2024
2024,,210124,,,法库县,亿元,no_data,156210124,2024
2024,,210181,,,新民市,亿元,no_data,156210181,2024
2024,,210202,,,中山区,亿元,no_data,156210202,2024
2024,,210203,,,西岗区,亿元,no_data,156210203,2024
2024,,210204,,,沙河口区,亿元,no_data,156210204,2024
2024,,210211,,,甘井子区,亿元,no_data,156210211,2024
2024,,210212,,,旅顺口区,亿元,no_data,156210212,2024
2024,,210213,,,金州区,亿元,no_data,156210213,2024
2024,,210214,,,普兰店区,亿元,matched,156210214,2024
